icscode,nlc,station_name,journey_time_orig,journey_time_dest,ml_orig,ml_dest,ml_ics_orig,ml_ics_dest,ml_orig_station_name,ml_dest_station_name,lng,lat,duration_change
90008043,8123,Wressle,209,201,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.923748690138,53.7726649435,-8
90000388,8824,Corpach,616,600,Euston,Euston,1000077,1000077,Euston,Euston,,,-16
90000388,8839,Banavie,616,600,Euston,Euston,1000077,1000077,Euston,Euston,-5.08746785378,56.8373018183,-16
90004696,3962,Maesteg (Ewenny Road),235,229,Paddington,Paddington,1001221,1001221,Paddington,Paddington,,,-6
90004696,3963,Maesteg,235,229,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-3.65229551593,51.60686748,-6
90006005,7974,Redcar East,234,225,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.05160710554,54.6087512419,-9
90002276,4525,Dorridge,148,146,Other,Euston,90006683,1000077,Solihull,Euston,-1.75084697529,52.3715230457,-2
90007097,3195,Tackley,133,131,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-1.29739377954,51.8810106085,-2
90000313,2584,Atherton,216,200,Euston,Euston,1000077,1000077,Euston,Euston,-2.47862999974,53.5295840838,-16
90000965,8496,Bramley (West Yorkshire),193,185,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.63857276956,53.8053512686,-8
90006881,8451,Stocksmoor,226,218,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.72935128285,53.5965263293,-8
90003082,6206,Goxhill,235,225,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-0.336738652853,53.6767856968,-10
90005898,5461,Pevensey & Westham,155,127,Other,Victoria,90006887,1000248,St.Leonards Warrior Square,Victoria,0.326869515274,50.8152976786,-28
90005397,7834,Newton Aycliffe,218,209,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.59049678638,54.6137041242,-9
90008156,7917,Yarm,212,203,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.35283242049,54.4954770522,-9
90007582,4600,Warwick,124,122,Other,Euston,1000145,1000077,Marylebone,Euston,-1.58288109088,52.2864967094,-2
90002016,2077,Dalston,299,282,Euston,Euston,1000077,1000077,Euston,Euston,-2.99010304218,54.8463890626,-17
90007198,8191,Thirsk,188,178,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.37258394441,54.2284791808,-10
90005905,4314,Pwllheli,434,417,Euston,Euston,1000077,1000077,Euston,Euston,-4.42059477269,52.8870789949,-17
90007076,5933,Swaythling,127,127,Waterloo,Waterloo,1000254,1000254,Waterloo,Waterloo,-1.37483226053,50.9419476103,0
90005132,8665,Muir Of Ord,581,575,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-4.45536466165,57.5144904541,-6
90004673,4640,Lye,181,166,Euston,Euston,1000077,1000077,Euston,Euston,-2.11482661095,52.4603710529,-15
90003711,9246,Hartwood,377,374,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.83861687779,55.8117593594,-3
90002029,7211,Darsham,142,155,Other,Euston,90003901,1000077,Ipswich,Euston,1.52370196399,52.2722259516,13
90003627,8720,Horwich Parkway,214,198,Euston,Euston,1000077,1000077,Euston,Euston,-2.53873726851,53.5775242773,-16
90000714,4502,Banbury,115,114,Other,Euston,1000145,1000077,Marylebone,Euston,-1.32753955225,52.0609594558,-1
90001573,9792,Clarkston,384,368,Euston,Euston,1000077,1000077,Euston,Euston,-4.27479724325,55.788508752,-16
90002376,8713,Dunblane,396,396,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.96357304996,56.1799876003,0
90008034,6907,Wrabness,113,128,Other,Other,90004714,90004714,Manningtree,Manningtree,1.17067065066,51.9391253537,15
90001686,3570,Coombe,359,351,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-4.48172483913,50.4448502599,-8
90003641,1734,Howwood,377,361,Euston,Euston,1000077,1000077,Euston,Euston,-4.56232765072,55.8103802918,-16
90001002,4175,Broome,451,240,Paddington,Euston,1001221,1000077,Paddington,Euston,-2.88476727755,52.422818173,-211
90005232,2565,Nelson,265,250,Euston,Euston,1000077,1000077,Euston,Euston,-2.2146705421,53.8349132546,-15
90004934,2961,Manchester Airport,202,186,Euston,Euston,1000077,1000077,Euston,Euston,-2.27649398023,53.3693733353,-16
90000312,8608,Attadale,999,977,Other,Other,90003942,90003942,Inverness,Inverness,-5.45578626526,57.3935460896,-22
90002591,5459,Eridge,97,95,London Bridge,Victoria,1000139,1000248,London Bridge,Victoria,0.200283294598,51.0891384424,-2
90006960,4643,Stourbridge Town,182,167,Euston,Euston,1000077,1000077,Euston,Euston,-2.14439318375,52.4555738927,-15
90000957,8500,Burley Park,196,188,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.57837274793,53.8122554198,-8
90005275,8506,New Pudsey,197,189,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.68451069065,53.8047168178,-8
90006345,5333,Seaford,145,140,Victoria,Victoria,1000248,1000248,Victoria,Victoria,0.0990157701924,50.7725833077,-5
90000329,8610,Aviemore,520,514,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.8299456364,57.1882341308,-6
90003090,5514,Grateley,109,108,Waterloo,Waterloo,1000254,1000254,Waterloo,Waterloo,-1.61819657389,51.170363777,-1
90001756,5484,Crawley,76,72,Other,Victoria,1001089,1000248,East Croydon,Victoria,-0.187244549698,51.1118432519,-4
90000826,1381,Bow Brickhill,121,79,St Pancras,Euston,1001276,1000077,St.Pancras,Euston,-0.695607256976,52.0049502123,-42
90006529,9739,Shotts,373,370,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.80055221979,55.8186133185,-3
90006360,2004,Sellafield,375,359,Euston,Euston,1000077,1000077,Euston,Euston,-3.51306926144,54.418483422,-16
90001597,9721,Cumbernauld,390,382,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.98271130248,55.9415367919,-8
90004065,8653,Kinbrace,1025,1003,Other,Other,90003942,90003942,Inverness,Inverness,-3.94185224879,58.25762779,-22
90001258,9877,Carfin,386,383,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-3.95688914929,55.8072825443,-3
90005194,3074,Newbury,101,99,Paddington,Paddington,1001221,1001221,Paddington,Paddington,-1.32315322614,51.397334713,-2
90003056,5298,Gomshall,88,86,Waterloo,Waterloo,1000254,1000254,Waterloo,Waterloo,-0.443436325974,51.2191301452,-2
90006569,6782,Silkstone Common,225,219,St Pancras,St Pancras,1001276,1001276,St.Pancras,St.Pancras,-1.56393486984,53.534557703,-6
90004485,4460,Llandanwg,370,355,Euston,Euston,1000077,1000077,Euston,Euston,-4.12288364898,52.8359977425,-15
90007711,2681,Wennington,243,227,Euston,Euston,1000077,1000077,Euston,Euston,-2.58597786586,54.1235309911,-16
90000912,8514,Brighouse,225,217,King's Cross,King's Cross,1001171,1001171,King's Cross,King's Cross,-1.77584125233,53.6940005647,-8
90002120,7348,Diss,110,125,Liverpool Street,Liverpool Street,1000138,1000138,Shoreditch High Street,Shoreditch High Street,1.12197003027,52.3720830564,15
90000791,8823,Bridge Of Orchy,518,502,Euston,Euston,1000077,1000077,Euston,Euston,-4.76468122785,56.5167267509,-16
